age,annual_income,loan_amount,credit_score,employment_years,existing_loans,debt_to_income_ratio,loan_term_months,default
57,69652,8936,651,8,1,0.33,36,0
54,95926,38258,675,1,0,0.63,48,1
31,40198,22218,720,8,3,0.24,48,1
61,108062,13637,598,2,0,0.3,36,0
23,53773,17126,637,3,0,0.21,48,0
48,66317,18361,784,1,2,0.34,24,1
49,77018,7933,680,3,1,0.22,12,0
29,24567,6630,562,3,2,0.31,36,0
23,29659,25107,581,4,1,0.52,36,1
45,29171,5944,721,10,3,0.46,24,0
54,83793,13220,559,1,4,0.33,24,1
32,42077,8664,612,20,0,0.34,48,0
62,135102,15253,666,9,0,0.47,48,0
29,49103,11477,651,2,1,0.06,12,0
35,23489,18405,768,1,1,0.27,36,0
60,35024,3338,453,0,1,0.56,36,1
45,51983,26170,688,1,2,0.46,36,1
25,63423,20769,627,10,1,0.31,60,0
31,29958,24512,755,1,1,0.05,36,0
54,65136,22875,631,0,1,0.06,36,0
44,74441,16127,633,0,0,0.09,36,0
35,35579,9092,649,1,1,0.18,24,0
58,131213,17379,597,1,0,0.21,48,0
28,37559,15894,602,0,2,0.5,60,1
25,29734,22605,638,15,0,0.13,36,0
46,22819,19399,781,1,1,0.23,48,0
38,90248,14136,610,0,2,0.43,36,1
26,49584,17324,595,14,1,0.36,36,0
57,38574,18270,617,4,4,0.41,24,1
33,23457,25667,650,0,0,0.34,36,0
48,40351,37855,793,0,1,0.52,60,1
25,161251,19115,588,0,0,0.44,12,0
33,16776,18321,849,4,0,0.18,24,0
37,35745,11686,686,0,3,0.25,48,0
60,120137,10872,569,4,1,0.37,24,0
52,91535,8643,606,5,0,0.35,36,0
49,36852,1958,495,0,0,0.5,24,1
23,54273,8074,658,3,1,0.52,60,0
60,61788,12044,734,16,0,0.5,36,0
54,52413,11117,652,9,0,0.33,24,0
60,119637,17570,714,6,1,0.51,24,0
47,58097,8246,684,3,2,0.53,36,1
33,86487,8467,746,2,2,0.37,36,0
53,53680,3758,571,3,2,0.1,24,0
26,17744,17727,720,7,4,0.19,36,0
44,27005,7842,800,4,1,0.27,48,0
39,29958,8694,850,7,2,0.28,48,0
36,43276,18748,763,17,5,0.24,36,1
60,138580,7866,663,5,1,0.29,48,0
48,58759,16784,572,4,3,0.42,48,0
53,46495,6477,584,2,0,0.38,12,0
61,91060,13191,636,1,2,0.27,36,0
33,23719,9266,798,2,0,0.42,48,0
63,38374,11386,607,3,1,0.43,48,1
45,35643,33090,664,0,1,0.42,36,0
62,59815,4996,725,3,1,0.36,36,0
56,76720,31364,387,9,1,0.4,36,1
47,62052,7698,564,18,1,0.35,36,1
58,62546,22504,806,9,3,0.3,36,0
27,40922,25346,733,0,1,0.45,36,0
25,57548,17296,733,0,0,0.49,24,0
63,32211,6431,574,2,0,0.23,24,0
51,68670,15732,766,1,1,0.7,12,0
43,38165,62052,584,5,5,0.19,60,0
62,27979,13450,657,0,1,0.34,36,0
30,49956,12575,705,2,2,0.44,12,0
52,18834,11869,716,1,0,0.39,36,0
63,102455,18202,689,4,1,0.2,48,0
50,73024,12678,633,7,3,0.38,48,0
59,58016,15847,502,12,0,0.58,60,1
51,21767,11210,656,16,1,0.32,24,1
38,34541,7174,476,2,2,0.14,48,1
56,50025,53811,695,9,0,0.14,60,0
22,42978,12607,571,4,1,0.52,36,0
34,21072,91038,637,5,2,0.3,60,1
33,25381,17239,609,9,0,0.35,24,1
49,42550,19148,695,0,1,0.4,36,1
32,25805,11096,586,14,0,0.01,48,0
59,97313,9360,670,3,1,0.51,60,1
22,62772,11248,664,2,0,0.62,12,1
52,32802,8108,655,2,0,0.29,48,0
33,87954,7670,681,6,2,0.33,60,0
47,79527,38978,553,5,0,0.46,24,1
61,56640,21587,556,6,2,0.28,24,1
37,48060,32823,764,1,1,0.51,48,0
60,42224,26237,526,0,1,0.43,36,1
51,37422,9313,823,6,1,0.54,24,0
54,25124,5303,638,1,1,0.18,60,0
44,105257,10136,581,1,1,0.4,36,0
55,37787,14116,718,1,3,0.41,36,1
26,49716,26545,605,0,1,0.46,48,1
39,31097,12929,677,2,0,0.33,36,0
50,43056,79206,749,1,0,0.21,36,1
27,203900,10304,707,11,3,0.13,36,0
30,34098,19046,684,5,2,0.27,48,0
61,101143,9328,702,6,1,0.25,12,0
52,48343,17047,653,2,2,0.29,36,0
54,68869,12390,714,4,2,0.32,48,0
48,91335,11508,564,3,2,0.16,48,0
35,56169,9216,766,0,0,0.2,12,0
50,41115,14596,637,0,1,0.28,36,1
57,44665,22064,664,5,2,0.41,36,0
49,45423,7442,624,0,2,0.25,48,0
42,124515,12975,698,0,3,0.41,24,0
24,23340,17959,734,2,0,0.61,24,0
40,20224,20125,570,6,1,0.35,48,1
52,20909,40856,644,7,0,0.59,60,0
56,31352,18905,663,10,1,0.53,36,1
24,69566,10508,684,1,0,0.43,48,0
47,71733,9501,626,21,2,0.28,36,1
37,36179,9431,615,7,1,0.31,48,0
32,48327,9121,720,0,2,0.49,36,0
42,28052,15205,690,9,1,0.36,48,0
37,29384,17194,667,3,0,0.64,12,0
30,65508,21910,749,0,4,0.3,36,0
21,82771,19910,542,0,2,0.33,60,0
42,38622,28216,713,2,4,0.63,48,1
46,111024,8943,679,3,1,0.2,24,0
38,79443,35663,533,14,3,0.66,36,1
34,108647,9156,743,1,2,0.02,48,0
49,42172,16461,697,3,0,0.22,24,1
32,104855,11886,707,1,3,0.18,12,0
56,145767,13169,625,4,2,0.1,48,0
55,39884,19997,711,12,0,0.25,36,1
32,45384,5636,591,4,2,0.28,48,0
27,30520,8115,542,3,2,0.38,12,1
49,27664,20942,648,6,2,0.04,36,0
31,27825,13342,704,0,2,0.62,36,0
53,32671,11453,731,11,3,0.27,48,0
26,56239,6818,662,4,0,0.38,48,0
35,33369,11501,655,5,1,0.26,24,0
52,55385,20101,731,8,0,0.35,60,1
31,55961,9527,623,5,3,0.39,48,0
43,38752,30285,605,5,3,0.45,36,0
46,47509,25492,779,6,2,0.09,48,0
54,37648,10828,627,0,2,0.62,48,0
54,41966,9352,723,2,0,0.01,24,0
49,32714,2543,758,16,1,0.39,12,0
24,51126,7001,666,1,1,0.39,24,0
37,36305,6747,671,3,1,0.24,60,0
55,27363,5661,793,0,1,0.33,48,0
33,65954,13074,545,1,0,0.38,24,0
61,67080,16110,544,6,1,0.22,48,0
59,85463,39687,715,5,1,0.01,60,1
35,29372,13903,617,2,2,0.28,60,0
49,38543,3943,718,13,1,0.63,36,0
49,55008,8530,645,7,3,0.19,48,0
31,38138,19270,716,1,2,0.27,36,0
52,65215,12722,579,3,0,0.28,12,0
22,62878,22339,699,10,3,0.28,36,0
34,62295,9815,609,0,4,0.12,36,1
40,101705,26668,707,4,0,0.47,36,0
42,67645,15484,839,1,3,0.4,24,0
31,52941,15723,585,0,2,0.3,48,0
47,44499,14617,621,12,1,0.17,60,0
23,46076,8441,639,8,0,0.25,48,0
37,28793,12909,675,1,2,0.42,36,0
64,20275,15934,466,9,2,0.41,36,0
48,61813,5765,652,0,1,0.34,36,1
49,90383,14013,632,3,1,0.43,48,0
41,41562,27692,633,6,1,0.66,24,1
36,108396,17331,673,3,2,0.52,48,1
57,44879,30344,678,9,0,0.16,12,0
40,18455,17062,677,4,2,0.6,48,0
26,77584,7796,563,2,0,0.31,36,0
39,38574,21470,629,12,0,0.46,36,1
25,81177,6737,626,0,0,0.31,24,0
23,25880,11789,692,3,2,0.08,36,0
21,60235,11320,572,5,1,0.38,12,0
58,32852,8893,665,9,1,0.55,48,0
35,54214,55680,778,3,0,0.2,36,0
54,71919,12789,437,10,1,0.29,24,1
55,64035,39578,636,2,1,0.66,24,1
45,50750,16418,491,1,0,0.54,36,1
44,24606,8163,650,18,2,0.48,36,0
32,70627,10448,716,5,1,0.45,36,0
38,82101,13054,609,2,0,0.39,48,1
35,29100,10882,724,10,1,0.22,36,0
64,31319,11334,758,5,2,0.27,36,0
36,83849,18849,682,5,1,0.55,24,0
47,44169,16634,608,6,0,0.33,24,0
28,31727,20211,692,6,1,0.08,24,0
45,56177,33389,784,3,0,0.37,24,0
37,35622,10067,543,2,3,0.06,60,0
49,53131,26064,738,12,1,0.24,48,0
28,39870,30827,546,3,1,0.09,48,0
35,41616,29037,528,1,4,0.35,24,1
47,85408,4647,551,3,3,0.39,36,0
27,14267,39285,646,0,2,0.57,36,1
23,64690,9119,751,6,1,0.44,24,0
49,78647,4427,489,0,1,0.28,24,1
64,35918,38710,729,0,3,0.21,48,1
44,78345,18179,637,14,3,0.42,24,0
23,30348,18635,561,7,1,0.1,36,1
40,35242,10946,697,2,1,0.58,60,0
35,33270,14902,612,1,3,0.41,36,0
45,78877,12288,830,9,1,0.17,36,0
50,20486,9186,689,17,2,0.23,48,1
34,111309,13545,654,3,1,0.27,48,0
27,42088,14298,701,4,0,0.34,12,1
37,66666,6045,757,1,0,0.4,24,0
64,63853,13813,765,4,3,0.31,24,0
40,52871,4570,724,2,4,0.4,36,0
56,36303,42285,760,9,3,0.28,24,0
29,91234,12562,746,2,1,0.57,36,0
58,37894,7024,722,5,7,0.46,48,0
42,34008,18177,618,1,0,0.51,60,0
22,76027,8535,750,0,2,0.4,36,1
44,52726,13127,615,0,0,0.53,48,0
28,96655,17558,671,2,1,0.03,36,0
31,47508,7258,619,0,2,0.35,24,0
33,35403,43037,703,25,2,0.58,48,0
37,56239,45567,752,8,0,0.5,48,0
28,39190,9747,617,5,3,0.44,24,0
41,35919,6809,537,8,1,0.25,36,0
38,74305,9720,730,1,2,0.45,60,0
50,122489,10037,732,10,2,0.42,60,0
38,43337,26009,775,27,1,0.15,36,0
51,30110,9821,721,1,1,0.51,24,1
58,45400,6654,723,20,1,0.32,24,0
52,63411,14199,592,1,1,0.2,48,0
31,55755,5461,708,0,2,0.17,48,0
45,89064,25356,821,2,2,0.27,36,0
53,68360,19148,605,29,1,0.39,24,0
58,28234,9321,552,5,1,0.28,36,0
61,38305,9952,661,5,2,0.22,36,0
28,24577,15510,724,1,2,0.25,36,0
31,86884,6892,667,0,1,0.38,12,1
42,18107,8327,792,10,1,0.49,36,0
44,25805,11669,581,2,0,0.36,36,1
61,37952,6055,528,0,1,0.62,48,1
37,64988,10172,764,1,1,0.22,24,0
32,37766,7017,537,1,1,0.25,48,0
52,40838,31436,675,4,0,0.43,12,0
35,41242,10487,762,7,3,0.33,36,0
36,53444,7569,667,3,1,0.52,12,0
42,26628,20023,594,1,1,0.15,48,1
48,30528,9162,751,0,1,0.39,36,0
40,113602,6894,663,1,0,0.45,36,0
53,59946,22754,632,8,1,0.08,36,1
30,71710,11005,781,2,2,0.15,36,0
60,50463,22128,619,1,0,0.26,24,0
52,45700,13239,602,0,1,0.15,60,1
53,61609,14436,577,3,0,0.34,48,1
22,70530,18730,747,5,2,0.45,36,0
53,74834,9128,684,1,1,0.27,24,0
53,46014,8216,611,3,3,0.46,36,1
61,79038,27476,534,2,1,0.2,36,0
33,14283,18908,762,6,1,0.23,48,0
50,76584,12829,612,9,2,0.25,24,1
53,39598,21534,504,1,1,0.32,48,0
33,64646,18473,656,11,1,0.1,60,0
46,35430,23528,732,6,0,0.13,48,0
42,25251,6729,707,0,1,0.11,36,0
59,58095,12855,656,7,0,0.39,24,0
22,23138,26314,614,3,1,0.4,36,1
58,40141,36546,605,14,5,0.01,36,0
59,32656,9686,752,1,2,0.6,36,1
46,44913,14698,493,4,1,0.06,12,1
35,73028,13515,574,15,3,0.49,36,1
54,38371,6332,642,1,1,0.51,36,0
62,57370,11242,490,3,0,0.52,60,0
64,70945,5181,632,6,3,0.25,48,0
60,36184,12083,551,5,1,0.37,12,0
31,36447,7166,687,9,0,0.32,24,0
23,97213,14793,604,3,1,0.62,36,1
26,47113,11092,618,1,0,0.31,60,0
29,63232,10987,598,3,0,0.56,36,0
26,62993,33929,704,2,0,0.2,48,0
29,26930,13939,644,0,1,0.26,24,1
59,33508,41230,725,4,0,0.3,36,1
51,59140,17462,746,0,0,0.35,12,0
52,17436,21792,627,0,1,0.34,24,1
61,44106,7929,594,0,1,0.26,48,1
32,31804,8811,616,5,0,0.03,36,0
28,85412,13498,850,2,1,0.16,24,0
28,58282,27662,600,3,2,0.43,48,0
48,88931,10745,636,2,0,0.48,48,0
40,48071,5659,667,1,0,0.31,36,0
27,46307,16963,693,2,0,0.23,12,0
31,42088,13882,658,1,0,0.1,60,0
40,38118,9598,791,5,1,0.56,48,0
36,187648,10680,668,0,0,0.43,48,1
24,73393,7921,638,3,0,0.17,60,0
26,28764,23256,726,3,1,0.4,24,0
42,183442,13548,579,1,1,0.36,48,1
46,40035,15433,693,0,2,0.51,24,0
23,57559,9340,620,6,0,0.38,36,0
61,78417,29784,752,4,1,0.34,48,0
62,22720,15252,759,8,2,0.44,36,0
34,32413,3697,636,1,1,0.5,36,1
31,111757,17605,580,7,2,0.35,24,1
38,43808,11400,501,1,1,0.18,48,0
32,80767,12108,668,0,0,0.44,12,0
43,39076,24251,479,0,2,0.44,24,1
32,46745,14088,643,1,3,0.4,12,0
33,119686,37324,605,5,1,0.41,24,1
45,61007,14233,694,1,2,0.27,36,0
39,41257,10097,648,4,1,0.37,12,0
56,34832,4500,604,1,0,0.49,24,1
28,36463,8684,717,2,1,0.41,12,0
49,91197,11011,562,11,1,0.49,48,0
52,71879,32201,695,3,2,0.49,48,1
64,27602,10134,814,4,1,0.62,48,0
38,51204,35782,727,1,0,0.52,36,0
26,47410,6707,617,0,0,0.27,48,1
38,57414,8404,568,2,1,0.28,24,0
39,36250,26270,724,9,2,0.07,48,0
42,84872,9348,552,1,2,0.23,36,1
57,48987,25836,650,4,1,0.42,36,1
52,59084,8137,707,10,3,0.49,60,0
61,33112,8641,569,13,0,0.21,48,0
23,33956,19635,564,25,5,0.47,36,0
48,185119,8205,544,7,1,0.37,60,0
30,120576,11331,777,0,4,0.52,12,1
55,47342,16930,785,10,2,0.53,60,0
49,105503,11480,784,10,2,0.41,48,0
35,89892,9532,795,4,2,0.3,36,0
53,35860,6474,599,0,1,0.4,36,0
27,34116,31875,504,3,1,0.5,48,1
32,68482,35655,786,1,0,0.54,24,1
50,55827,16278,724,2,3,0.31,24,0
41,40094,11622,717,6,1,0.55,36,1
51,70306,12012,566,5,1,0.33,24,1
44,23831,22011,657,7,0,0.75,36,0
40,51922,24811,662,3,1,0.27,36,1
57,26384,9661,644,3,1,0.22,24,0
24,26822,25457,581,13,0,0.48,36,0
48,34427,19323,497,4,0,0.47,36,0
64,58785,25193,589,6,3,0.17,24,0
40,34974,5109,420,5,1,0.34,36,1
44,26660,10388,616,5,1,0.44,36,1
52,62231,12043,600,12,1,0.36,36,0
61,103401,10083,556,2,2,0.49,60,0
56,67469,42209,682,2,0,0.41,60,1
54,120680,10447,622,2,1,0.48,36,0
56,99169,17694,628,7,2,0.39,48,0
22,38418,14642,761,10,0,0.5,48,0
35,67243,11224,624,2,1,0.5,24,0
54,46825,8732,686,0,2,0.38,48,0
56,83370,45867,563,3,0,0.35,12,1
26,46821,11694,670,20,3,0.3,12,1
59,33045,22591,641,1,3,0.31,36,1
62,97411,13282,657,3,1,0.4,48,0
32,57463,10145,552,1,3,0.46,60,1
23,35180,14256,559,12,2,0.53,36,1
38,38201,16072,622,4,1,0.09,36,1
60,35067,10079,756,4,1,0.01,36,0
41,29706,8444,534,0,1,0.33,24,1
35,38609,17777,784,5,3,0.37,48,0
53,59071,14325,593,1,1,0.06,36,1
55,50616,9034,656,3,0,0.38,48,0
46,39375,7607,730,3,0,0.18,36,1
28,103544,16474,621,4,2,0.37,12,0
56,17938,4226,630,8,1,0.06,48,0
50,57129,11425,765,1,1,0.27,12,0
43,45643,14487,737,1,2,0.39,48,0
62,30179,37896,706,7,1,0.44,24,0
64,58819,13444,638,6,0,0.37,36,0
34,43920,11151,643,1,0,0.19,24,1
34,91449,15847,564,0,0,0.41,60,1
22,75662,8691,627,5,1,0.22,36,0
57,127142,11715,655,0,0,0.42,48,0
25,38497,13596,647,15,0,0.6,48,0
58,98545,19490,673,4,0,0.3,24,0
61,27366,8921,738,9,1,0.66,36,0
34,46382,13313,529,8,0,0.44,60,1
59,38846,4561,599,4,0,0.31,36,0
45,66252,18215,741,2,2,0.63,12,0
40,65456,11634,847,3,0,0.35,48,0
22,31247,41381,564,8,1,0.22,36,1
59,68124,16494,599,5,0,0.26,48,0
26,40528,7941,545,1,3,0.36,36,1
37,32584,6931,487,4,2,0.25,24,0
45,48732,19871,671,2,1,0.3,36,0
48,23425,39255,697,0,0,0.26,36,1
22,78092,32666,626,2,1,0.44,24,1
55,47676,6453,626,1,0,0.65,48,1
57,48200,15092,641,9,0,0.33,36,0
25,46930,26270,604,0,2,0.22,48,0
21,111683,5974,646,2,0,0.34,60,0
60,104761,24894,760,5,1,0.2,36,0
32,96315,8763,583,11,1,0.82,36,1
56,46980,11739,627,2,0,0.51,24,1
43,28062,15771,639,4,2,0.58,36,1
51,48630,25361,604,2,1,0.48,36,1
31,57365,33494,655,1,1,0.17,24,0
30,73592,11006,450,1,0,0.41,12,1
23,57273,10018,695,5,0,0.41,24,0
34,29341,9626,572,6,2,0.51,48,0
36,37507,21327,582,2,1,0.4,48,0
30,35844,24278,636,0,2,0.23,24,1
49,64185,22848,538,0,0,0.66,48,0
30,64977,15707,756,8,0,0.48,36,0
32,69377,16665,584,5,0,0.3,36,0
50,56983,11635,850,6,0,0.35,36,0
61,17507,12304,700,3,0,0.43,48,0
21,20683,22300,604,3,3,0.3,36,1
25,45702,15655,625,1,0,0.37,36,0
40,51484,10057,661,0,0,0.4,24,0
28,91750,25837,785,0,1,0.32,24,0
63,50965,9277,726,24,1,0.46,36,0
32,30092,14580,720,8,0,0.3,48,0
21,68260,6348,625,4,0,0.26,24,0
40,48599,7574,604,1,1,0.5,36,0
48,40093,13513,700,2,1,0.45,60,0
63,21866,8797,756,2,0,0.35,36,0
57,51153,11643,638,3,0,0.25,36,0
57,54962,27666,595,2,1,0.48,36,1
32,29789,12396,567,13,0,0.34,48,0
57,71123,22923,516,6,2,0.32,36,0
64,68009,8362,614,0,3,0.26,36,0
48,50234,18570,629,2,0,0.17,24,0
35,49308,7331,648,0,0,0.5,60,0
26,78670,11500,693,1,1,0.22,12,0
64,58909,19028,612,15,0,0.14,36,0
40,34505,13462,793,6,5,0.34,48,0
34,44408,23514,558,0,1,0.39,48,1
22,64758,19940,704,1,1,0.58,36,1
29,17744,11102,552,2,0,0.4,36,0
57,30768,29090,581,4,3,0.05,12,0
40,68945,17357,672,3,0,0.2,60,0
46,89719,11542,733,0,1,0.58,24,0
49,81676,14580,627,3,2,0.35,60,1
21,76622,14108,656,0,1,0.19,24,0
55,52306,15077,751,3,2,0.15,12,0
26,29306,12270,552,1,1,0.44,12,0
57,44430,16705,711,0,1,0.21,36,0
25,18094,21458,594,1,2,0.34,24,1
53,93932,17246,669,0,0,0.29,36,0
34,32579,16897,693,1,2,0.61,36,0
32,37546,12576,555,10,1,0.19,48,0
62,83225,7850,590,1,1,0.56,48,0
40,21865,6784,703,3,4,0.69,48,1
44,27046,8738,629,3,2,0.19,36,1
63,56049,10396,592,0,3,0.14,12,1
54,63588,36427,665,2,2,0.4,48,1
45,47294,28310,563,9,2,0.36,36,1
49,48072,9358,555,0,4,0.55,48,1
59,92428,17497,458,12,1,0.17,24,1
51,67383,12828,678,10,3,0.38,48,0
63,62980,15391,652,9,2,0.42,36,1
43,72245,9612,693,1,1,0.37,24,0
64,42180,51279,747,3,1,0.29,24,0
58,145303,40892,630,4,2,0.34,60,1
40,15463,11208,644,0,1,0.81,36,1
43,101616,9341,677,4,0,0.1,36,0
36,76960,23278,604,9,3,0.69,48,1
62,55500,6465,533,13,0,0.28,36,0
28,51022,22193,557,1,1,0.18,48,1
41,45352,14404,646,1,0,0.19,36,0
21,85111,5650,729,1,2,0.33,36,0
28,48053,12196,775,0,1,0.37,48,1
49,34066,9014,627,2,0,0.36,12,0
52,76956,14721,663,7,1,0.29,36,0
58,108269,13828,799,6,1,0.59,60,0
25,18702,5952,691,11,0,0.18,36,0
42,159300,10932,660,2,2,0.3,12,1
54,29191,18860,666,4,0,0.35,24,1
21,30328,20913,696,7,1,0.34,60,1
46,26306,10744,552,11,1,0.18,48,1
63,49041,17582,710,10,1,0.36,24,0
30,25851,15675,685,3,2,0.41,60,0
50,27470,12944,737,11,1,0.41,24,0
38,34742,17647,689,2,0,0.42,60,0
37,52534,7668,731,11,0,0.24,48,0
46,55128,13367,576,7,1,0.18,60,0
28,91180,5103,602,1,3,0.21,24,0
60,90135,12932,662,13,2,0.23,36,0
32,81822,31414,589,1,1,0.01,48,0
47,43010,11029,718,11,1,0.32,36,0
28,19524,29585,536,4,1,0.33,24,0
45,19309,11134,637,5,0,0.2,48,0
24,81541,6968,604,0,3,0.42,48,1
53,74747,19915,590,0,0,0.31,24,0
21,36013,17647,540,17,3,0.42,12,1
39,23852,53712,653,2,0,0.27,36,1
51,29039,7423,643,9,1,0.27,36,0
36,53495,16545,802,6,2,0.47,48,0
34,53545,16902,849,4,3,0.12,12,0
25,82558,25207,564,5,0,0.35,36,1
61,39136,18359,497,0,2,0.41,12,1
46,43389,11239,553,2,0,0.52,24,1
48,86048,7025,645,4,2,0.4,36,1
22,16940,16448,740,10,2,0.2,24,0
26,57453,16724,611,6,0,0.27,24,0
29,41476,19513,696,1,1,0.08,48,0
53,70009,11229,586,20,2,0.25,24,0
61,63341,15786,611,5,1,0.51,36,0
45,34608,5289,663,3,3,0.55,60,1
33,38037,7204,649,7,0,0.31,48,1
29,15506,23419,647,4,0,0.62,36,0
33,71324,14881,563,6,3,0.25,12,1
51,55264,17774,748,4,1,0.38,60,0
61,98642,9329,747,0,1,0.04,48,0
31,40146,8644,748,3,0,0.34,12,0
24,77432,10361,595,1,3,0.36,60,0
54,28711,15407,659,4,2,0.25,12,0
58,12677,20161,608,0,1,0.52,36,1
24,46758,11504,572,1,1,0.09,36,0
58,36925,4935,672,8,2,0.08,60,0
39,28986,16994,480,2,1,0.37,60,1
26,76807,15681,717,5,0,0.02,36,0
54,89690,17809,556,3,0,0.46,48,1
38,51674,22334,624,2,2,0.32,48,0
33,44745,21301,468,3,1,0.45,48,0
61,50582,30226,794,8,1,0.36,36,0
43,35367,13589,702,1,0,0.4,24,0
39,64945,10309,656,2,2,0.34,36,0
31,22704,24946,594,1,0,0.53,48,1
21,28665,23040,564,2,0,0.51,48,1
44,33003,11617,633,10,1,0.41,36,0
27,64259,25939,674,7,2,0.39,48,0
45,42140,13970,631,2,1,0.46,36,0
41,96779,28732,692,0,2,0.33,48,1
35,73251,37704,798,2,0,0.4,24,0
21,32841,65162,564,7,0,0.25,36,0
32,67287,13868,668,0,1,0.15,36,1
27,39970,31233,789,6,1,0.33,12,0
35,62105,22299,625,5,1,0.5,12,0
41,75048,23580,638,0,1,0.45,24,1
39,85592,17234,686,5,0,0.19,48,0
49,54231,23639,704,1,4,0.24,24,0
45,109104,5857,733,0,2,0.29,48,0
53,61123,13130,658,2,0,0.14,48,1
52,52445,9026,586,1,2,0.24,48,0
55,42139,8584,694,8,1,0.16,48,0
64,35751,5645,572,6,2,0.3,60,1
58,60472,9739,676,19,2,0.28,36,0
46,51553,12034,656,3,1,0.47,36,0
31,55849,14921,654,0,2,0.39,36,1
55,62340,13260,643,2,1,0.51,48,1
28,55731,25119,730,9,2,0.03,12,0
34,134141,7804,699,2,2,0.19,36,0
30,37647,4162,705,3,0,0.4,24,1
22,60848,18377,612,2,0,0.39,36,0
29,43745,12990,518,1,1,0.3,36,1
23,14317,12829,618,0,0,0.49,60,0
41,44500,8710,684,0,1,0.34,60,1
46,30691,23051,652,2,1,0.69,36,0
28,47410,10389,615,1,1,0.37,12,0
22,48377,7862,667,4,0,0.26,36,0
26,59437,36481,628,4,1,0.59,12,0
48,37605,20230,653,4,2,0.35,36,0
49,40032,13041,490,0,1,0.44,36,1
46,69587,3087,711,5,1,0.21,36,0
45,32711,11599,699,2,1,0.4,12,0
32,19550,13187,818,10,2,0.34,48,1
25,53024,32151,593,3,0,0.45,48,1
54,83736,4675,609,0,0,0.3,12,0
57,69188,34069,663,0,2,0.1,12,1
35,53516,17364,647,6,4,0.46,60,1
64,91612,6473,776,2,3,0.35,36,0
56,84204,23227,617,1,3,0.25,60,1
35,41545,11541,637,2,1,0.37,36,0
63,55479,4928,605,0,1,0.37,24,0
43,56683,10232,771,2,1,0.42,36,0
26,46939,15567,688,1,0,0.41,60,0
64,86432,13865,775,8,2,0.56,24,0
63,45430,19654,850,0,0,0.3,48,0
41,38172,25808,588,7,0,0.5,36,0
43,13416,6910,736,3,0,0.29,12,1
63,32887,13193,629,0,0,0.12,36,0
36,25394,9265,594,17,1,0.54,24,1
35,48040,6314,532,6,1,0.22,36,0
45,26190,12950,820,1,2,0.47,24,1
56,66459,17309,730,4,1,0.36,60,0
31,85324,17933,631,11,0,0.38,24,1
35,48263,10539,699,13,0,0.52,36,0
24,29971,7297,505,6,1,0.02,48,1
41,56568,9074,642,6,2,0.47,36,1
33,126340,4332,589,1,1,0.45,48,0
42,108146,6544,765,22,3,0.22,36,0
39,24269,6894,771,1,1,0.35,24,0
54,23823,22185,721,0,3,0.48,24,0
34,20957,22173,725,18,1,0.19,48,0
24,27764,47939,598,0,0,0.32,48,1
47,55592,15431,707,3,1,0.51,48,0
49,37110,9993,539,3,1,0.14,36,0
48,32230,13456,528,9,1,0.39,60,1
55,82417,12069,641,2,2,0.39,36,0
28,63898,9145,692,3,2,0.38,24,0
36,20903,16186,697,0,1,0.16,12,0
62,80086,15003,549,1,0,0.34,36,1
56,63134,12713,525,8,1,0.35,48,0
50,63839,11197,613,3,1,0.32,12,0
38,36855,19518,579,1,0,0.47,12,1
22,44638,9583,698,2,0,0.35,36,1
33,18281,10489,568,1,4,0.38,60,1
24,75621,17766,805,4,2,0.14,48,0
46,29748,24511,678,0,2,0.21,24,0
45,31719,23204,638,1,0,0.25,12,0
50,31505,11432,558,2,0,0.26,48,0
31,120595,6256,544,13,1,0.35,48,1
27,35089,11229,624,4,0,0.22,36,0
51,78521,13962,603,3,0,0.16,12,0
64,48436,6846,511,1,1,0.37,48,0
30,32384,11104,759,4,4,0.34,36,1
59,29578,27563,561,13,1,0.39,48,0
33,35795,14595,678,4,0,0.67,24,0
51,47229,9659,685,0,0,0.16,36,0
27,66228,13592,520,29,2,0.35,36,0
62,38735,14048,619,3,1,0.34,36,0
62,38017,10678,537,1,1,0.37,60,1
56,31552,21235,682,3,2,0.67,48,1
40,26983,4460,655,1,0,0.01,48,0
24,25878,17730,643,0,0,0.29,24,0
27,80339,9472,584,11,1,0.35,36,0
21,37630,25019,744,2,2,0.43,24,0
64,39334,6218,619,6,1,0.45,60,1
62,35125,23462,531,17,1,0.09,24,1
33,41838,8320,574,5,3,0.32,24,1
42,59014,16206,489,5,1,0.21,24,0
41,38428,10107,597,14,1,0.4,36,0
42,53657,26273,577,3,2,0.37,36,0
48,99618,11912,705,1,1,0.26,24,0
29,32538,8657,695,12,0,0.62,36,0
46,39350,30929,667,0,1,0.31,48,0
29,67543,11292,725,1,4,0.3,48,0
35,103636,18270,555,2,1,0.21,12,0
30,26340,23468,675,7,1,0.01,48,1
44,20943,7881,534,11,2,0.36,24,0
62,49005,17208,611,3,1,0.22,60,0
28,46539,18663,677,1,2,0.38,24,1
44,69569,5279,607,2,0,0.79,36,0
36,64458,16217,780,5,0,0.38,36,0
46,48195,10803,622,0,3,0.38,36,0
47,82835,35316,714,3,1,0.5,36,0
57,34873,22464,628,4,1,0.55,48,1
24,54490,17386,660,6,2,0.38,36,1
44,26692,3925,620,4,1,0.38,36,0
39,47999,17448,664,0,1,0.27,60,0
56,23610,8462,788,5,0,0.43,36,0
59,28059,22564,773,0,1,0.44,24,0
